Bait	Prey	#Rep	#Pep	AvgP	BFDR
A4	A0A183	4	1	0.2105	0.5831
C10	A0A183	4	1	0.1383	0.6186
homo+DMSO	A0A183	4	1	0.2347	0.5647
HSPB7	A0A183	4	1	0.2335	0.5660
iPS_C10	A0A183	4	1	0.0507	0.6597
iPS_K22	A0A183	4	1	0.3876	0.4235
iPS_P9	A0A183	4	1	0.4281	0.3969
iPS_WTc11	A0A183	4	1	0.4333	0.3933
K22	A0A183	4	1	0.5531	0.2899
P9	A0A183	4	1	0.2345	0.5649
RBM20	A0A183	1	1	0.9612	0.0082
TetOn-BAG3	A0A183	4	1	0.1565	0.6112
A4	A0AVT1	4	1	0.2434	0.5562
homo+Bort	A0AVT1	4	1	0.2439	0.5557
HSPB7	A0AVT1	4	1	0.2490	0.5494
iPS_WTc11	A0AVT1	4	1	0.2400	0.5596
K22	A0AVT1	4	1	0.2490	0.5494
P9	A0AVT1	4	1	0.2387	0.5609
A4	A0PJW8	4	1	0.6708	0.2040
C10	A0PJW8	4	1	0.7877	0.1100
homo+Bort	A0PJW8	4	1	0.6538	0.2175
homo+DMSO	A0PJW8	4	1	0.6086	0.2531
HSPB7	A0PJW8	4	1	0.6679	0.2059
iPS_A4	A0PJW8	4	1	0.7804	0.1140
iPS_C10	A0PJW8	4	1	0.6518	0.2186
iPS_K22	A0PJW8	4	1	0.7410	0.1511
iPS_P9	A0PJW8	4	1	0.8124	0.0960
iPS_WTc11	A0PJW8	4	1	0.4364	0.3914
K22	A0PJW8	4	1	0.6026	0.2559
P9	A0PJW8	4	1	0.6980	0.1832
RBM20	A0PJW8	1	1	0.9045	0.0432
TetOn-BAG3	A0PJW8	4	1	0.6790	0.1985
C10	A1A4G5	4	2	0.0018	0.6687
K22	A1A4G5	4	2	0.0934	0.6426
P9	A1A4G5	4	2	0.1794	0.5999
TetOn-BAG3	A1A4G5	4	2	0.0436	0.6615
A4	A1L390	4	1	0.4679	0.3694
C10	A1L390	4	1	0.4093	0.4105
homo+Bort	A1L390	4	1	0.4828	0.3586
homo+DMSO	A1L390	4	1	0.2499	0.5420
HSPB7	A1L390	4	1	0.2464	0.5529
iPS_A4	A1L390	4	1	0.2500	0.5036
iPS_C10	A1L390	4	1	0.2499	0.5420
iPS_K22	A1L390	4	1	0.2500	0.5036
iPS_P9	A1L390	4	1	0.2428	0.5568
iPS_WTc11	A1L390	4	1	0.2477	0.5515
K22	A1L390	4	1	0.2491	0.5492
P9	A1L390	4	1	0.4155	0.4059
RBM20	A1L390	1	1	0.2793	0.4914
TetOn-BAG3	A1L390	4	1	0.2460	0.5534
A4	A1X283	4	1	0.2499	0.5420
homo+Bort	A1X283	4	1	0.2500	0.5036
iPS_C10	A1X283	4	1	0.2500	0.5036
iPS_P9	A1X283	4	1	0.2500	0.5036
iPS_WTc11	A1X283	4	1	0.2500	0.5036
P9	A1X283	4	1	0.2500	0.5036
TetOn-BAG3	A1X283	4	1	0.2500	0.5036
A4	A2PYH4	4	1	0.0053	0.6682
C10	A2PYH4	4	1	0.1848	0.5973
homo+Bort	A2PYH4	4	1	0.0595	0.6574
homo+DMSO	A2PYH4	4	1	0.0185	0.6667
HSPB7	A2PYH4	4	1	0.1724	0.6027
iPS_A4	A2PYH4	4	1	0.1223	0.6308
iPS_C10	A2PYH4	4	1	0.1011	0.6400
iPS_K22	A2PYH4	4	1	0.0087	0.6678
