Bait	Prey	#Rep	AvgP	BFDR
A4	A0A183	4	0.1411	0.5677
C10	A0A183	4	0.0458	0.6101
homo+DMSO	A0A183	4	0.2470	0.5283
HSPB7	A0A183	4	0.2455	0.5297
iPS_C10	A0A183	4	0.0185	0.6198
iPS_K22	A0A183	4	0.2446	0.5302
iPS_P9	A0A183	4	0.3269	0.4216
iPS_WTc11	A0A183	4	0.3450	0.4123
K22	A0A183	4	0.2297	0.5377
P9	A0A183	4	0.2468	0.5285
RBM20	A0A183	1	0.9990	0.0001
TetOn-BAG3	A0A183	4	0.0536	0.6062
A4	A0AVT1	4	0.2500	0.4623
homo+Bort	A0AVT1	4	0.2500	0.4623
HSPB7	A0AVT1	4	0.2500	0.4623
iPS_WTc11	A0AVT1	4	0.2498	0.5214
K22	A0AVT1	4	0.2500	0.4623
P9	A0AVT1	4	0.2496	0.5233
A4	A0PJW8	4	0.4939	0.3340
C10	A0PJW8	4	0.6245	0.2066
homo+Bort	A0PJW8	4	0.5217	0.2812
homo+DMSO	A0PJW8	4	0.5163	0.2845
HSPB7	A0PJW8	4	0.5259	0.2779
iPS_A4	A0PJW8	4	0.6084	0.2178
iPS_C10	A0PJW8	4	0.5402	0.2671
iPS_K22	A0PJW8	4	0.6423	0.1961
iPS_P9	A0PJW8	4	0.6239	0.2068
iPS_WTc11	A0PJW8	4	0.3727	0.3968
K22	A0PJW8	4	0.4632	0.3500
P9	A0PJW8	4	0.5620	0.2503
RBM20	A0PJW8	1	0.8051	0.0614
TetOn-BAG3	A0PJW8	4	0.6054	0.2196
C10	A1A4G5	4	0.0015	0.6250
K22	A1A4G5	4	0.0588	0.6034
P9	A1A4G5	4	0.1361	0.5697
TetOn-BAG3	A1A4G5	4	0.0230	0.6185
A4	A1L390	4	0.4213	0.3705
C10	A1L390	4	0.3286	0.4208
homo+Bort	A1L390	4	0.4620	0.3505
homo+DMSO	A1L390	4	0.2500	0.4623
HSPB7	A1L390	4	0.2439	0.5308
iPS_A4	A1L390	4	0.2500	0.4623
iPS_C10	A1L390	4	0.2499	0.5199
iPS_K22	A1L390	4	0.2500	0.4623
iPS_P9	A1L390	4	0.2354	0.5351
iPS_WTc11	A1L390	4	0.2464	0.5289
K22	A1L390	4	0.2489	0.5256
P9	A1L390	4	0.3346	0.4176
RBM20	A1L390	1	0.0918	0.5867
TetOn-BAG3	A1L390	4	0.2429	0.5317
A4	A1X283	4	0.2500	0.4623
homo+Bort	A1X283	4	0.2500	0.4623
iPS_C10	A1X283	4	0.2500	0.4623
iPS_P9	A1X283	4	0.2500	0.4623
iPS_WTc11	A1X283	4	0.2500	0.4623
P9	A1X283	4	0.2500	0.4623
TetOn-BAG3	A1X283	4	0.2500	0.4623
A4	A2PYH4	4	0.0007	0.6253
C10	A2PYH4	4	0.0758	0.5932
homo+Bort	A2PYH4	4	0.0086	0.6227
homo+DMSO	A2PYH4	4	0.0026	0.6246
HSPB7	A2PYH4	4	0.0551	0.6054
iPS_A4	A2PYH4	4	0.0229	0.6186
iPS_C10	A2PYH4	4	0.0176	0.6201
iPS_K22	A2PYH4	4	0.0012	0.6251
iPS_P9	A2PYH4	4	0.0218	0.6188
iPS_WTc11	A2PYH4	4	0.0012	0.6251
K22	A2PYH4	4	0.0538	0.6061
P9	A2PYH4	4	0.0317	0.6159
RBM20	A2PYH4	1	0.2276	0.5383
TetOn-BAG3	A2PYH4	4	0.0101	0.6223
C10	A2RUC4	4	0.5000	0.2946
homo+Bort	A2RUC4	4	0.2500	0.4623
homo+DMSO	A2RUC4	4	0.2500	0.4623
HSPB7	A2RUC4	4	0.2500	0.4623
iPS_P9	A2RUC4	4	0.2500	0.4623
K22	A2RUC4	4	0.2500	0.4623
A4	A3KMH1	4	0.2500	0.4623
C10	A3KMH1	4	0.5000	0.2946
homo+Bort	A3KMH1	4	0.2500	0.4623
homo+DMSO	A3KMH1	4	0.2500	0.4623
iPS_C10	A3KMH1	4	0.2099	0.5457
K22	A3KMH1	4	0.2500	0.4623
iPS_A4	A4D0S4	4	0.2500	0.4623
iPS_C10	A4D0S4	4	0.2500	0.4623
iPS_P9	A4D0S4	4	0.2500	0.4623
iPS_WTc11	A4D0S4	4	0.2500	0.4623
TetOn-BAG3	A4D0S4	4	0.2500	0.4623
A4	A4UGR9	4	0.2523	0.4615
C10	A4UGR9	4	0.5842	0.2335
homo+Bort	A4UGR9	4	0.5659	0.2472
homo+DMSO	A4UGR9	4	0.2601	0.4576
HSPB7	A4UGR9	4	0.5379	0.2688
iPS_A4	A4UGR9	4	0.5834	0.2339
iPS_C10	A4UGR9	4	0.6009	0.2233
iPS_K22	A4UGR9	4	0.3217	0.4246
iPS_P9	A4UGR9	4	0.5562	0.2555
iPS_WTc11	A4UGR9	4	0.4043	0.3793
K22	A4UGR9	4	0.1868	0.5536
P9	A4UGR9	4	0.3697	0.3985
RBM20	A4UGR9	1	0.2237	0.5397
TetOn-BAG3	A4UGR9	4	0.4999	0.3244
A4	A5D8V7	4	0.0533	0.6063
C10	A5D8V7	4	0.0521	0.6069
homo+Bort	A5D8V7	4	0.0625	0.6008
homo+DMSO	A5D8V7	4	0.0875	0.5883
HSPB7	A5D8V7	4	0.2514	0.4618
iPS_A4	A5D8V7	4	0.0374	0.6134
iPS_C10	A5D8V7	4	0.1858	0.5540
iPS_K22	A5D8V7	4	0.1110	0.5788
iPS_P9	A5D8V7	4	0.0593	0.6031
iPS_WTc11	A5D8V7	4	0.0691	0.5963
K22	A5D8V7	4	0.0782	0.5920
P9	A5D8V7	4	0.2470	0.5283
RBM20	A5D8V7	1	0.6297	0.2033
TetOn-BAG3	A5D8V7	4	0.0352	0.6144
A4	A6NCN2	4	0.1014	0.5827
C10	A6NCN2	4	0.3054	0.4341
homo+Bort	A6NCN2	4	0.0397	0.6126
HSPB7	A6NCN2	4	0.1247	0.5735
iPS_C10	A6NCN2	4	0.2971	0.4386
iPS_K22	A6NCN2	4	0.2500	0.4623
K22	A6NCN2	4	0.2270	0.5386
P9	A6NCN2	4	0.2359	0.5350
A4	A6NEC2	4	0.1023	0.5824
C10	A6NEC2	4	0.1028	0.5821
homo+Bort	A6NEC2	4	0.0580	0.6037
homo+DMSO	A6NEC2	4	0.1062	0.5809
HSPB7	A6NEC2	4	0.0662	0.5984
iPS_C10	A6NEC2	4	0.0440	0.6108
iPS_K22	A6NEC2	4	0.0600	0.6025
iPS_P9	A6NEC2	4	0.0520	0.6070
iPS_WTc11	A6NEC2	4	0.0627	0.6006
K22	A6NEC2	4	0.0933	0.5862
P9	A6NEC2	4	0.0641	0.5998
RBM20	A6NEC2	1	0.2593	0.4582
TetOn-BAG3	A6NEC2	4	0.0437	0.6108
A4	A6NEE1	4	0.2500	0.4623
homo+DMSO	A6NEE1	4	0.2500	0.4623
HSPB7	A6NEE1	4	0.2500	0.4623
iPS_A4	A6NEE1	4	0.5000	0.2946
iPS_C10	A6NEE1	4	0.2500	0.4623
iPS_K22	A6NEE1	4	0.2500	0.4623
iPS_P9	A6NEE1	4	0.2500	0.4623
K22	A6NEE1	4	0.2500	0.4623
P9	A6NEE1	4	0.2500	0.4623
TetOn-BAG3	A6NEE1	4	0.5000	0.2946
A4	A6NEM1	4	0.0426	0.6113
C10	A6NEM1	4	0.1370	0.5694
P9	A6NEM1	4	0.2374	0.5343
A4	A6NFF2	4	0.4448	0.3583
homo+Bort	A6NFF2	4	0.4046	0.3791
homo+DMSO	A6NFF2	4	0.2104	0.5454
HSPB7	A6NFF2	4	0.2105	0.5453
iPS_A4	A6NFF2	4	0.3495	0.4095
iPS_C10	A6NFF2	4	0.5207	0.2821
iPS_K22	A6NFF2	4	0.1665	0.5600
iPS_P9	A6NFF2	4	0.1999	0.5492
iPS_WTc11	A6NFF2	4	0.2033	0.5480
K22	A6NFF2	4	0.2040	0.5478
P9	A6NFF2	4	0.2663	0.4548
RBM20	A6NFF2	1	0.5152	0.2852
TetOn-BAG3	A6NFF2	4	0.4014	0.3813
iPS_C10	A6NGJ6	4	0.2500	0.4623
